location_id	sex_id	sex_name	age_id	age_name	cause_id	cause_name	metric_id	metric_name	year	val	upper	lower
68	1	Male	22	All ages	410	Neoplasms	2	Percent	1980	0.24066668414304804	0.2668142132821207	0.21099825739172856
68	2	Female	22	All ages	410	Neoplasms	2	Percent	1980	0.19726790841266917	0.22242125817711264	0.16958330650592018
19	1	Male	22	All ages	410	Neoplasms	2	Percent	1980	0.01963510811185568	0.02447638071583436	0.014176553640246815
19	2	Female	22	All ages	410	Neoplasms	2	Percent	1980	0.02434200280075997	0.030537045127249075	0.017933132753269777
349	1	Male	22	All ages	491	Cardiovascular diseases	2	Percent	1980	0.23189118911187487	0.24482881041215215	0.2184108152107952
349	2	Female	22	All ages	491	Cardiovascular diseases	2	Percent	1980	0.2595246903792208	0.2842695349719467	0.24022251931228122
84	1	Male	22	All ages	491	Cardiovascular diseases	2	Percent	1980	0.4877612713113798	0.49806891226476857	0.473526738989543
84	2	Female	22	All ages	491	Cardiovascular diseases	2	Percent	1980	0.4976943632723291	0.5144181986838585	0.4658247001056047
12	1	Male	22	All ages	491	Cardiovascular diseases	2	Percent	1981	0.14565729251651147	0.1672155900444783	0.11974531595592644
12	2	Female	22	All ages	491	Cardiovascular diseases	2	Percent	1981	0.1618457617558595	0.19433714368211005	0.13334033408756302
19	1	Male	22	All ages	491	Cardiovascular diseases	2	Percent	1980	0.07139227789864157	0.08862205139202661	0.051832844362059
19	2	Female	22	All ages	491	Cardiovascular diseases	2	Percent	1980	0.10022511632944424	0.1171355238633001	0.07886150225117768
110	1	Male	22	All ages	491	Cardiovascular diseases	2	Percent	1981	0.33048063882228657	0.35715187389856756	0.29254508234871096
110	2	Female	22	All ages	491	Cardiovascular diseases	2	Percent	1981	0.4523414760962551	0.47279940645473856	0.4263147280256488
182	1	Male	22	All ages	491	Cardiovascular diseases	2	Percent	1980	0.045113345829910306	0.053319071676754884	0.0359808545126876
182	2	Female	22	All ages	491	Cardiovascular diseases	2	Percent	1980	0.0601539530983582	0.06981710917425886	0.0495347696748127
216	1	Male	22	All ages	491	Cardiovascular diseases	2	Percent	1980	0.08746757882591626	0.10606718993704196	0.06989775445321839
216	2	Female	22	All ages	491	Cardiovascular diseases	2	Percent	1980	0.09605769910876108	0.11856897475423014	0.07391153738584627
126	1	Male	22	All ages	491	Cardiovascular diseases	2	Percent	1981	0.26985232260017616	0.27770403122222415	0.2576800162609043
126	2	Female	22	All ages	491	Cardiovascular diseases	2	Percent	1981	0.30787686883833504	0.31979094844952205	0.2871016375615022
52	1	Male	22	All ages	410	Neoplasms	2	Percent	1980	0.14290942626111894	0.1530880060813205	0.13231574984395267
52	2	Female	22	All ages	410	Neoplasms	2	Percent	1980	0.1247038573351838	0.13055996267127934	0.11891802424162662
216	1	Male	22	All ages	410	Neoplasms	2	Percent	1980	0.02545288099028828	0.030762772096794396	0.01821619597548448
216	2	Female	22	All ages	410	Neoplasms	2	Percent	1980	0.02316516726717151	0.028118549023121324	0.017468232425370628
68	1	Male	22	All ages	491	Cardiovascular diseases	2	Percent	1980	0.20295648209349104	0.22971531264343195	0.18031891044883425
68	2	Female	22	All ages	491	Cardiovascular diseases	2	Percent	1980	0.33468739142172904	0.37516783856874397	0.2859169124791068
133	1	Male	22	All ages	491	Cardiovascular diseases	2	Percent	1980	0.25962080920695246	0.2651723811720632	0.25263043911343613
133	2	Female	22	All ages	491	Cardiovascular diseases	2	Percent	1980	0.3151026032495718	0.3243747939068768	0.3002199472372902
61	1	Male	22	All ages	491	Cardiovascular diseases	2	Percent	1981	0.40208347836362796	0.4129045013048448	0.39064433939611765
61	2	Female	22	All ages	491	Cardiovascular diseases	2	Percent	1981	0.5417936097871344	0.555667760959973	0.5170693971469242
94	1	Male	22	All ages	410	Neoplasms	2	Percent	1981	0.2615943341680584	0.2708300374919362	0.25000913015412474
94	2	Female	22	All ages	410	Neoplasms	2	Percent	1981	0.21607905013311737	0.22521273785979604	0.2009696894984809
101	1	Male	22	All ages	410	Neoplasms	2	Percent	1980	0.24018027586289725	0.24900468286444785	0.23019568720948255
101	2	Female	22	All ages	410	Neoplasms	2	Percent	1980	0.24320524474865032	0.2531369148298135	0.23121346314384447
150	1	Male	22	All ages	410	Neoplasms	2	Percent	1980	0.031586026402323865	0.037093025416283704	0.026390023541808166
150	2	Female	22	All ages	410	Neoplasms	2	Percent	1980	0.027522511522949884	0.03344694225785304	0.022715837064463586
61	1	Male	22	All ages	410	Neoplasms	2	Percent	1981	0.1290778146290545	0.13784796887688952	0.12109920053296555
61	2	Female	22	All ages	410	Neoplasms	2	Percent	1981	0.1189746468255073	0.12428512043269686	0.11372503689236935
200	1	Male	22	All ages	491	Cardiovascular diseases	2	Percent	1980	0.08511124815481588	0.09659454675201379	0.07218708849900288
200	2	Female	22	All ages	491	Cardiovascular diseases	2	Percent	1980	0.1076068921906219	0.1251906748834508	0.09056297803553046
209	1	Male	22	All ages	410	Neoplasms	2	Percent	1981	0.0335325049288332	0.04116095303770146	0.023807564518623273
209	2	Female	22	All ages	410	Neoplasms	2	Percent	1981	0.031015391133196114	0.03671091887738639	0.026231436803930273
