sex	month	year	Deaths	note
men	January	1851	3245
men	January	1852	3403
men	January	1853	3559
men	January	1854	2980
men	January	1855	3244
men	January	1856	3491
men	January	1857	4249
men	January	1858	4188
men	January	1859	3507
men	January	1860	2944
men	January	1861	3599
men	January	1862	4089
men	January	1863	3867
men	January	1864	4393
men	January	1865	3651
men	January	1866	3530
men	January	1867	4189
men	January	1868	3784
men	January	1869	4548
men	January	1870	3818
men	January	1871	3621
men	January	1872	3066
men	January	1873	3170
men	January	1874	3821
men	January	1875	4788
men	January	1876	4241
men	January	1877	4336
men	January	1878	3811
men	January	1879	3561
men	January	1880	3553
men	January	1881	4404
men	January	1882	3354
men	January	1883	3672
men	January	1884	3526
men	January	1885	3976
men	January	1886	3628
men	January	1887	3584
men	January	1888	3532
men	January	1889	3341
men	January	1890	5298
men	January	1891	4038
men	January	1892	5344
men	January	1893	4098
men	January	1894	5171
men	January	1895	3553
men	January	1896	3320
men	January	1897	3782
men	January	1898	3354
men	January	1899	4027
men	January	1900	3972
men	January	1901	3584
men	January	1902	3346
men	January	1903	3688
men	January	1904	3422
men	January	1905	4255
men	January	1906	3594
men	January	1907	3652
men	January	1908	3767
men	January	1909	3492
men	January	1910	3195
men	January	1911	3498
men	January	1912	3563
men	January	1913	3564
men	January	1914	3617
men	January	1915	4848
men	January	1916	3450
men	January	1917	3820
men	January	1918	3704
men	January	1919	5309
men	January	1920	3566
men	January	1921	3567
men	January	1922	3611
men	January	1923	2965
men	January	1924	3213
men	January	1925	2969
men	January	1926	3156
men	January	1927	3342
men	January	1928	3433
men	January	1929	3533
men	January	1930	2926
men	January	1931	4295
men	January	1932	3032
men	January	1933	3168
men	January	1934	3238
men	January	1935	3544
men	January	1936	3369
men	January	1937	3410
men	January	1938	3478
men	January	1939	3328
men	January	1940	3494
men	January	1941	4266
men	January	1942	3050
men	January	1943	3027
men	January	1944	3246
men	January	1945	3433
men	January	1946	3330
men	January	1947	3504
men	January	1948	3219
men	January	1949	3144
men	January	1950	3137
men	January	1951	4005
men	January	1952	3137
men	January	1953	3315
men	January	1954	3186
men	January	1955	3174
men	January	1956	3115
men	January	1957	3337
men	January	1958	3480
men	January	1959	3458
men	January	1960	3432
men	January	1961	3553
men	January	1962	3557
men	January	1963	3793
men	January	1964	3561
men	January	1965	3732
men	January	1966	3720
men	January	1967	3744
men	January	1968	4305
men	January	1969	3972
men	January	1970	4326
men	January	1971	3811
men	January	1972	4298
men	January	1973	4285
men	January	1974	4408
men	January	1975	4184
men	January	1976	4364
men	January	1977	4350
men	January	1978	4374
men	January	1979	4701
men	January	1980	4512
men	January	1981	4718
men	January	1982	4700
men	January	1983	4311
men	January	1984	4299
men	January	1985	4879
men	January	1986	4532
men	January	1987	4779
men	January	1988	4306
men	January	1989	4754
men	January	1990	4458
men	January	1991	4576
men	January	1992	4681
men	January	1993	4360
men	January	1994	4591
men	January	1995	4230
men	January	1996	4911
men	January	1997	4577
men	January	1998	4020
men	January	1999	4192
men	January	2000	4699
men	January	2001	3981
men	January	2002	4084
men	January	2003	4484
men	January	2004	4217
men	January	2005	3966
men	January	2006	4074
men	January	2007	4083
men	January	2008	4070
men	January	2009	4462
men	January	2010	4129
men	January	2011	4155
men	January	2012	4078
men	January	2013	4236
men	January	2014	3969
men	January	2015	4076
men	January	2016	4163
men	January	2017	4407
men	January	2018	4303
men	January	2019	4199
men	February	1851	3075
men	February	1852	3624
men	February	1853	4140
men	February	1854	2625
men	February	1855	3830
men	February	1856	3429
men	February	1857	3818
men	February	1858	3502
men	February	1859	3167
men	February	1860	3048
men	February	1861	3108
men	February	1862	3613
men	February	1863	3687
men	February	1864	3547
men	February	1865	3694
men	February	1866	3332
men	February	1867	3430
men	February	1868	3535
men	February	1869	4240
men	February	1870	4187
men	February	1871	3456
men	February	1872	3027
men	February	1873	3065
men	February	1874	3845
men	February	1875	4187
men	February	1876	3751
men	February	1877	3591
men	February	1878	3373
men	February	1879	3237
men	February	1880	3627
men	February	1881	3788
men	February	1882	3329
men	February	1883	3355
men	February	1884	3432
men	February	1885	3426
men	February	1886	3140
men	February	1887	3155
men	February	1888	3383
men	February	1889	3236
men	February	1890	3605
men	February	1891	3211
men	February	1892	4590
men	February	1893	3630
men	February	1894	3525
men	February	1895	3579
men	February	1896	3164
men	February	1897	3565
men	February	1898	3124
men	February	1899	4069
men	February	1900	3795
men	February	1901	3523
men	February	1902	3294
men	February	1903	3320
men	February	1904	3493
men	February	1905	3671
men	February	1906	3047
men	February	1907	3451
men	February	1908	3832
men	February	1909	3189
men	February	1910	3227
men	February	1911	3354
men	February	1912	3479
men	February	1913	3431
men	February	1914	3039
men	February	1915	3911
men	February	1916	3241
men	February	1917	3587
men	February	1918	2901
men	February	1919	4039
men	February	1920	3641
men	February	1921	3222
men	February	1922	4219
men	February	1923	2837
men	February	1924	3055
men	February	1925	2899
men	February	1926	3187
men	February	1927	4213
men	February	1928	3055
men	February	1929	3383
men	February	1930	2938
men	February	1931	3909
men	February	1932	2779
men	February	1933	2875
men	February	1934	2862
men	February	1935	3212
men	February	1936	3198
men	February	1937	3501
men	February	1938	3039
men	February	1939	2935
men	February	1940	3652
men	February	1941	3494
men	February	1942	2831
men	February	1943	2654
men	February	1944	3048
men	February	1945	3025
men	February	1946	2882
men	February	1947	3796
men	February	1948	2833
men	February	1949	2843
men	February	1950	3039
men	February	1951	2934
men	February	1952	2864
men	February	1953	3004
men	February	1954	2952
men	February	1955	2873
men	February	1956	3133
men	February	1957	2845
men	February	1958	3106
men	February	1959	2840
men	February	1960	3488
men	February	1961	2890
men	February	1962	3167
men	February	1963	3258
men	February	1964	3323
men	February	1965	3239
men	February	1966	3527
men	February	1967	3256
men	February	1968	3863
men	February	1969	3881
men	February	1970	3319
men	February	1971	3356
men	February	1972	3568
men	February	1973	3833
men	February	1974	3704
men	February	1975	4345
men	February	1976	4257
men	February	1977	3753
men	February	1978	4187
men	February	1979	3766
men	February	1980	4160
men	February	1981	4100
men	February	1982	3690
men	February	1983	4074
men	February	1984	3901
men	February	1985	4549
men	February	1986	4253
men	February	1987	3910
men	February	1988	4015
men	February	1989	3574
men	February	1990	3838
men	February	1991	3794
men	February	1992	4269
men	February	1993	3830
men	February	1994	3727
men	February	1995	3754
men	February	1996	4096
men	February	1997	4025
men	February	1998	3943
men	February	1999	4152
men	February	2000	4003
